# IOC Export  2026-04-12_10-42-UTC
# 16 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
bc82e931cb21b4c06c99794008fa99d754899cb972fff0184a4db4883afbff65  # Botnet/IoT | R=84.5 | Mirai | elf
  ALYac                          Trojan.Linux.Mirai.AVGS
  AVG                            ELF:Mirai-BYP [Trj]
  AhnLab-V3                      Worm/Linux.Mirai.SE286
  Antiy-AVL                      Trojan/Linux.Mirai
  Arcabit                        Trojan.Linux.Mirai.AVGS
  Avast                          ELF:Mirai-BYP [Trj]
  Avast-Mobile                   ELF:Mirai-AQY [Trj]
  BitDefender                    Trojan.Linux.Mirai.AVGS
  CTX                            elf.trojan.avgs
  ClamAV                         Unix.Trojan.Mirai-7755770-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9821
  ESET-NOD32                     Linux/Mirai.ATK trojan
  Emsisoft                       Trojan.Linux.Mirai.AVGS (B)
  Fortinet                       ELF/Mirai.9821!tr
  GData                          Trojan.Linux.Mirai.AVGS
  Google                         Detected
  Ikarus                         Trojan.Linux.Multiverze
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.kn
  Kingsoft                       Linux.Backdoor.elf.2023947
  McAfeeD                        Trojan:Linux/Mirai.ENM
  MicroWorld-eScan               Trojan.Linux.Mirai.AVGS
  Microsoft                      Backdoor:Linux/Mirai.LR!MTB
  Rising                         Backdoor.Mirai/Linux!1.13A56 (CLASSIC)
  Sangfor                        Suspicious.Linux.Save.a
  SentinelOne                    Static AI - Malicious ELF
  Skyhigh                        LINUX/Mirai-FOM!C4687C1F7D09
  Sophos                         Linux/DDoS-BIX
  Tencent                        Trojan.Linux.Mirai.nk
  TrellixENS                     LINUX/Mirai-FOM!C4687C1F7D09
  VIPRE                          Trojan.Linux.Mirai.AVGS
  Varist                         E32/Mirai.EN.gen!Camelot
  ZoneAlarm                      Linux/DDoS-BIX
  huorong                        Trojan/Linux.Mirai.f

## 35e59b5009e69db255fa...  (CoinMiner) | Defender: ✗ nicht erkannt
   Erkannt: 1/76 Engines (1.3%) — ⚠️ KAUM ERKANNT
  huorong                        Trojan/Linux.CoinMiner.dn

## 1be6a8d35632d5702bde...  (DiscordRAT) ⭐ WOCHEN-SAMPLE | Defender: ✓ Gen:Variant.Application.msilheracles.1255
   Erkannt: 59/76 Engines (77.6%) — ✅ GUT ERKANNT
  ALYac                          Gen:Variant.Application.msilheracles.1255
  APEX                           Malicious
  AVG                            Win64:MalwareX-gen [Expl]
  AhnLab-V3                      Trojan/Win.Generic.C5217098
  Alibaba                        Trojan:MSIL/Injuke.987c6d48
  Antiy-AVL                      Trojan/Win32.Agent
  Arcabit                        Trojan.Application.msilheracles.D4E7
  Avast                          Win64:MalwareX-gen [Expl]
  Avira                          HEUR/AGEN.1378898
  BitDefender                    Gen:Variant.Application.msilheracles.1255
  Bkav                           W64.AIDetectMalware.CS
  CAT-QuickHeal                  Trojan.Ghanarava.177592451199b846
  CTX                            exe.trojan.msil
  ClamAV                         Win.Malware.Tedy-9965181-0
  CrowdStrike                    win/malicious_confidence_100% (W)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 100)
  DeepInstinct                   MALICIOUS
  DrWeb                          BackDoor.SpyBotNET.70
  ESET-NOD32                     MSIL/Agent.DZT trojan
  Elastic                        malicious (high confidence)
  Emsisoft                       Gen:Variant.Application.msilheracles.1255 (B)
  F-Secure                       Heuristic.HEUR/AGEN.1378898
  Fortinet                       MSIL/Agent.DZT!tr
  GData                          MSIL.Backdoor.DiscordRAT.B
  Google                         Detected
  Gridinsoft                     Trojan.Win64.Agent.sa
  Ikarus                         Trojan-Downloader.MSIL.Agent
  K7AntiVirus                    Trojan ( 005b0c8d1 )
  K7GW                           Trojan ( 005b0c8d1 )
  Kaspersky                      Trojan.Win32.Injuke.pflk
  Kingsoft                       Win32.Trojan.Injuke.pflk
  Lionic                         Trojan.Win32.DiscordRAT.4!c
  Malwarebytes                   Generic.Trojan.MSIL.DDS
  MaxSecure                      Trojan.Malware.345125053.susgen
  McAfeeD                        Trojan:Win/Eternity.A
  MicroWorld-eScan               Gen:Variant.Application.msilheracles.1255
  Microsoft                      Trojan:MSIL/Dcstl.psyX!MTB
  Panda                          Trj/CI.A
  Rising                         Backdoor.DiscordRAT!1.F9B9 (CLASSIC)
  SUPERAntiSpyware               Trojan.Agent/Gen-Jalapeno
  Sangfor                        Suspicious.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Sophos                         Mal/Stealer-J
  Symantec                       ML.Attribute.HighConfidence
  Tencent                        Trojan.MSIL.Agent.kp
  TrellixENS                     DiscordRAT!0728377FDD9B
  TrendMicro                     Backdoor.MSIL.DISCOGRAT.SMPI
  TrendMicro-HouseCall           Backdoor.MSIL.DISCOGRAT.SMPI
  VBA32                          Backdoor.SpyBotNET
  VIPRE                          Gen:Variant.Application.msilheracles.1255
  Varist                         W64/Agent.EWH.gen!Eldorado
  ViRobot                        Trojan.Win.Z.Agent.80384.DQME
  VirIT                          Trojan.Win64.Agent.BBO
  Webroot                        W32.Trojan.Gen
  Zillya                         Trojan.Agent.Win32.2901213
  ZoneAlarm                      Mal/Stealer-J
  alibabacloud                   Backdoor:MSIL/Dcstl.pvk#3DGW
  huorong                        TrojanSpy/MSIL.Stealer.add!crit
