# IOC Export  2026-05-16_11-05-UTC
# 13 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
635d1e58cca091f0515f69e78be4cef6ed549cead6a6e0ed6c6e369130b186e1  # Botnet/IoT | R=84.2 | Mirai | elf
  Sangfor                        Trojan.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Skyhigh                        Quasar!38FF6FEEE92F
  Sophos                         Troj/Quasar-AF
  Symantec                       ML.Attribute.HighConfidence
  TACHYON                        Backdoor/W32.DN-Agent.3266048.F
  Tencent                        Trojan.MSIL.Quasar.ka
  TrellixENS                     GenericRXLX-DS!38FF6FEEE92F
  TrendMicro                     Backdoor.MSIL.QUASAR.SMTPTPI
  TrendMicro-HouseCall           Backdoor.MSIL.QUASAR.SMTPTPI
  VBA32                          Trojan.MSIL.Quasar.Heur
  VIPRE                          Gen:Variant.Application.fca.3927
  Varist                         W32/MSIL_Troj.BTX.gen!Eldorado
  VirIT                          Trojan.Win32.MSIL_Heur.B
  Webroot                        W32.Trojan.Quasar
  Yandex                         Trojan.Quasar!voquJwzptYg
  ZoneAlarm                      Troj/Quasar-AF
  huorong                        Trojan/MSIL.Obfuscated.g!crit

## fe9772392f131a7ad371...  (Barys) | Defender: ✓ Trojan:Win32/Wacatac.B!ml
   Erkannt: 23/75 Engines (30.7%) — 🟡 SCHWACH ERKANNT
  ALYac                          Gen:Variant.Barys.511750
  APEX                           Malicious
  AhnLab-V3                      Packed/Win.Malware-gen.R773821
  Arcabit                        Trojan.Barys.D7CF06
  Bkav                           W32.Malware.17BFFA63
  CTX                            exe.unknown.barys
  CrowdStrike                    win/malicious_confidence_100% (W)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 100)
  DeepInstinct                   MALICIOUS
  Elastic                        malicious (high confidence)
  Emsisoft                       Gen:Variant.Barys.511750 (B)
  GData                          Gen:Variant.Barys.511750
  Ikarus                         PUA.Themida
  Malwarebytes                   Malware.Heuristic.2025
  McAfeeD                        ti!FE9772392F13
  MicroWorld-eScan               Gen:Variant.Barys.511750
  Microsoft                      Trojan:Win32/Wacatac.B!ml
  Sangfor                        Suspicious.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Symantec                       ML.Attribute.HighConfidence
  VIPRE                          Gen:Variant.Barys.511750
  Zoner                          Probably Heur.ExeHeaderL

## 462da039980a8f166fbd...  (NanoCore) ⭐ WOCHEN-SAMPLE | Defender: ✓ Backdoor.MSIL.Agent.GD
   Erkannt: 62/75 Engines (82.7%) — ✅ GUT ERKANNT
  ALYac                          Backdoor.MSIL.Agent.GD
  APEX                           Malicious
  AVG                            MSIL:NanoCore-B [Trj]
  AhnLab-V3                      Win-Trojan/Nanocore.Exp
  Alibaba                        Trojan:Win32/NanoCore.348
  Antiy-AVL                      Trojan/MSIL.NanoCore
  Arcabit                        Backdoor.MSIL.Agent.GD
  Avast                          MSIL:NanoCore-B [Trj]
  Avira                          TR/Dropper.MSIL.Gen7
  BitDefender                    Backdoor.MSIL.Agent.GD
  Bkav                           W32.Malware.FCA95B5F
