# IOC Export  2026-03-14_05-13-UTC
# 13 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
e33d9882edde6a44eb51e7baecb1f763461403f62ece06bf39fadc650f63bcd7  # Botnet/IoT | R=82.6 | Mirai | elf

## b988eaa416e61ec5ecef...  (Mirai)
  ALYac                          Trojan.Linux.Mirai.1
  AVG                            ELF:Mirai-AFS [Trj]
  AhnLab-V3                      Linux/Mirai09.Exp
  Antiy-AVL                      Trojan[Backdoor]/Linux.Mirai
  Arcabit                        Trojan.Linux.Mirai.1
  Avast                          ELF:Mirai-AFS [Trj]
  Avast-Mobile                   ELF:Mirai-ANO [Trj]
  Avira                          EXP/ELF.Agent.J.14
  BitDefender                    Trojan.Linux.Mirai.1
  CTX                            elf.trojan.mirai
  ClamAV                         Unix.Dropper.Mirai-7135957-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9774
  ESET-NOD32                     Linux/Mirai.NV trojan
  Emsisoft                       Trojan.Linux.Mirai.1 (B)
  F-Secure                       Exploit.EXP/ELF.Agent.J.14
  Fortinet                       ELF/Agent.BA!tr
  GData                          Trojan.Linux.Mirai.1
  Google                         Detected
  Ikarus                         Trojan.Linux.Multiverze
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.b
  McAfeeD                        Trojan:Linux/Mirai.ERC
  MicroWorld-eScan               Trojan.Linux.Mirai.1
  Microsoft                      Backdoor:Linux/Mirai.BL!xp
  Rising                         Backdoor.Mirai/Linux!1.CEC4 (CLASSIC)
  Sangfor                        Suspicious.Linux.Save.a
  Tencent                        Backdoor.Linux.Mirai.was
  TrendMicro                     Possible_MIRAI.SMLBO21
  TrendMicro-HouseCall           Possible_MIRAI.SMLBO21
  VIPRE                          Trojan.Linux.Mirai.1
  Varist                         E32/Mirai.G.gen!Camelot
  huorong                        Trojan/Linux.Mirai.g
