# IOC Export  2026-05-12_23-05-UTC
# 8 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
d39520f3eebb5fffe353dbed91958b9d61f70123bb9cfdd512da5177cfbbf2ed  # RAT | R=89.2 | AsyncRAT | exe
8cd988339da258cbbb000009f6fe817d168bec28774f204b9ac6331e8404fdb1  # Trojaner | R=83.4 | FakeGame | exe
542a659bb2be59897efc121c8ade7a8a32fa00ab2bafadb3f5d05edb564e7170  # RAT | R=81.3 | ValleyRAT | exe
92598fd7f0d08b6ed7534573448bb262091b178cb63b436e399a6a1b04596e65  # RAT | R=71.8 | DCRat | exe
b19633c79f345c08f5cfb2d04cad60391608dbc23e4b29adf312ee3eb6e9bd0c  # RAT | R=69.3 | ValleyRAT | exe
462da039980a8f166fbd27d15437fa093ab9c369ba13055d7fad90bf3b9d1627  # RAT | R=62.0 | NanoCore | exe
a436131de194c33ad46eeae05cb824410658fae18acaece1070183d1c34f3273  # Andere / Unbekannt | R=32.6 | unbekannt | unknown
5cad743af28092b1f640663d116b658506c4f3fced2744c96a84a6c74774723f  # Andere / Unbekannt | R=32.2 | unbekannt | unknown

[Tags]
AsyncRAT
DCRat
RAT
ValleyRAT
exe

[VT Engine Detections]

  Malwarebytes                   Generic.Spyware.Stealer.DDS
  MaxSecure                      Trojan.Malware.121218.susgen
  McAfeeD                        Real Protect-LS!06B9EBCEEB68
  MicroWorld-eScan               Trojan.MSIL.Basic.8.Gen
  Microsoft                      Backdoor:MSIL/DCRat!MTB
  Paloalto                       generic.ml
  Panda                          Trj/CI.A
  Rising                         Backdoor.DcRat!8.129D9 (CLOUD)
  SUPERAntiSpyware               Trojan.Agent/Gen-Crypt
  Sangfor                        Suspicious.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Skyhigh                        Trojan-FUJL!06B9EBCEEB68
  Sophos                         Troj/DCRat-N
  Tencent                        Trojan.Msil.Dcrat.xa
  TrellixENS                     Trojan-FUJL!06B9EBCEEB68
  TrendMicro                     Backdoor.MSIL.DCRAT.TL0101E926ZY
  TrendMicro-HouseCall           Trojan.Win32.VSX.PE04CA1
  VIPRE                          Trojan.MSIL.Basic.8.Gen
  Varist                         W32/MSIL_Agent.LQ.gen!Eldorado
  ViRobot                        Trojan.Win.Z.Dcrat.993280
  VirIT                          Trojan.Win32.MSIL_Heur.A
  Zillya                         Trojan.BasicGen.Win32.4
  ZoneAlarm                      Troj/DCRat-N
  alibabacloud                   Backdoor:MSIL/DCRat.gyf
  huorong                        TrojanSpy/MSIL.Stealer.n
  tehtris                        Generic.Malware

## 8cd988339da258cbbb00...  (FakeGame) | Defender: ✗ nicht erkannt
   Erkannt: 2/75 Engines (2.7%) — ⚠️ KAUM ERKANNT
  Malwarebytes                   Trojan.FakeGame
  Trapmine                       suspicious.low.ml.score

