# IOC Export  2026-04-22_17-06-UTC
# 101 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
cebbd68bbe77e5d9ffbf058fa6f37dc38e57a03a87fa10dde2b1915149c92132  # Botnet/IoT | R=84.2 | Mirai | elf
b41e43021ae1df49045ee9fb03de6255481c475852a2835c338ebe6ddac0d55f  # Botnet/IoT | R=84.2 | Mirai | elf
95f6d8d8f2b7a9e2982221a6ce8b1d6ad908b42982f425dfe8feb39a81d34d02  # Botnet/IoT | R=84.2 | Mirai | elf
2d087a3663d5c325e9884ace959da019ea2c51509389733a08602de18f41ff0e  # Botnet/IoT | R=84.2 | Mirai | elf
c05dca7c231d66f896d6a018c9ae8f2843b70619bb3a3dabf3f735509913638e  # Botnet/IoT | R=84.2 | Mirai | elf
df3599e2a986e613a317a404d39e88bde21557d784359c1d4a560d5cc7aa6cb6  # Botnet/IoT | R=84.2 | Mirai | elf
f0ad98576faf4c79ae557f5c4051796261b56c3031171774f4cf73c792ee8d2a  # Botnet/IoT | R=84.2 | Mirai | elf
56e95e081dc4b48c119d15409bd3d7258bb302970835191e1856c020c700988c  # Botnet/IoT | R=84.2 | Mirai | elf
8341b1ead69a1d5d342a13164d1623d4c30f9d3c39fbb6dea733e6b05699ca7c  # Botnet/IoT | R=84.2 | Mirai | elf
73ee19c193b47f844c000011e7b0f90c6d4cf4519dbdd4ba7ed738903d6825ce  # Botnet/IoT | R=84.2 | Mirai | elf
03df9ba296d451df918024114009f9d57ebd205d327f9b650f494c26c2e1a571  # Botnet/IoT | R=84.2 | Mirai | elf
9b7d8010b3a117f1944b2bae246c150b008c65d3a5d76346a78a18ad6bce3080  # Botnet/IoT | R=84.2 | Mirai | elf
06c7eb0eaaffbd56fbad19a6ef7d4b31b641a25833ed76e0a91db93167061486  # Botnet/IoT | R=84.2 | Mirai | elf
bd659035de64932c9ac4461ebec6d2cf00c2d93a3a7e3c7819426f6d4d4352bb  # Botnet/IoT | R=84.2 | Mirai | elf
1eda520b3107b28579305cc1b00c99a61100f15ffef56a1c04ddad10e83ba117  # Botnet/IoT | R=84.2 | Mirai | elf
2bdfc74b900e086c6bb1278cdb72bd4de6b3aea855937f34bd729d21c9bdf512  # Botnet/IoT | R=84.1 | Mirai | elf
1561dbdb28eaccdb8c7829c72ad30752d6c368e2c3ac9967667f360042313528  # Botnet/IoT | R=84.1 | Mirai | elf
9da85a71f77b26fc02997ff08981cd2a497b155b3515f9179edfb6e910e6aa68  # Botnet/IoT | R=83.9 | Mirai | elf
01105c759ffb07de1dbf522a19ccb51746274fddc66661275ca83772c9c0320d  # Botnet/IoT | R=83.9 | Mirai | elf
e25b244b0eec20b63a6361538832c9f86e79f4b91cb92bf12738c15b09085cf5  # Botnet/IoT | R=83.9 | Mirai | elf
428ef996926ac99bd697b34482a139117fe8fe113ed6ac16a8254d6cd53a998c  # Botnet/IoT | R=83.9 | Mirai | elf
741712f0d9bcee88173d0111a010e3d36da165c91ab82d01f24138868dcd5fbf  # Botnet/IoT | R=83.9 | Mirai | elf
6ed3d010b652e550ac99d4b147503795133ca0f610046ae95f8b3750bec3b2f9  # Botnet/IoT | R=83.9 | Mirai | elf
16d40bfe0ecd3cb3c2f7f93e1b5578b81be87ec349d065f174d8c9f01d5cb660  # Botnet/IoT | R=83.9 | Mirai | elf
98370a31aa0976e7291d5c5087a8c9770b2927e8c3399bc14a2402d01bc5839d  # Botnet/IoT | R=83.9 | Mirai | elf
b606999038c82f8e9f517dd1b40e585d7c565dfd5ad5dba95fc0c4b56546c833  # Botnet/IoT | R=83.9 | Mirai | elf
d728ee9aac7be7a04b6670f3d24f10690b2122b0c900c86590ede3b55e8e115f  # Botnet/IoT | R=83.9 | Mirai | elf
a753a1e79075fef2c8187d54476b21ead408cecc2e68cd89174ff7f342e024d2  # Botnet/IoT | R=83.9 | Mirai | elf
ee2a12220aa049365a4b8e216327c79e7b6c7da3e11d4d22f5a97e88e2f4bdd2  # Botnet/IoT | R=83.4 | Mirai | elf
7622a284a69aeedfcd4173e5571d91ae6efe49c6b22ce703ae218ba7dd26a877  # Botnet/IoT | R=81.4 | Mirai | elf
460cdc154dc00f028f907a54776ab5529ed24a6d0654b07a7c3d769598efc3e8  # Botnet/IoT | R=79.0 | Mirai | elf
2762f3e0a56d62e70157c398626856befead49f0926ba921f478bb599f10e2f6  # Infostealer | R=68.9 | LummaStealer | exe
b691b80189ddec3e164e3f69a6bdfa91aacbd75e21900d0d385cdb25b15923f5  # Linux-Malware | R=43.3 | unbekannt | elf
b8ca0bd6ede154a6b3830e899e52118339a716e608b448e85793c295732648c4  # Linux-Malware | R=43.3 | unbekannt | elf
8269870e21e3c4ac68f20436da0bdea8909cdcd585ae7e160b24b701d6f1a5de  # Linux-Malware | R=43.3 | unbekannt | elf
a9676f16ec5dbe32e26afd37c6b7ad6afec80c4c6c5215ef409307153689cc70  # Linux-Malware | R=43.3 | unbekannt | elf
8833200bc00ded45694879cadb3e358e5f145a3bfebd5f2b7d775e2fa760970e  # Linux-Malware | R=43.3 | unbekannt | elf
750afeeb1d7bcab44cc30741c4d1807dd7858be07c9f245ab2ae7ba726e09e40  # Linux-Malware | R=43.3 | unbekannt | elf
adc4173f12b8d59c145d3b624a6a07ab3204692b87d09a3da579625497f7f9ac  # Linux-Malware | R=43.3 | unbekannt | elf
b562e65d5ad485494cee16ec220e496c334fff7d5f100f2180492404a91e3ab9  # Linux-Malware | R=43.3 | unbekannt | elf
d1e4621fb7a6769cace9e07d37dd02a44776f0623effbbfda0082af6815ebc0d  # Linux-Malware | R=43.3 | unbekannt | elf
3f735bf0ec885559d5ffc651ba16022e446c18255473cc9a9fae7cd4e3b35f78  # Linux-Malware | R=42.9 | unbekannt | elf
a0f0d318d17e7593ee642f773b82c975fb1d32f9c47219a4ea9de6f69e17930a  # Linux-Malware | R=42.9 | unbekannt | elf
dc2e63a993d62f77c72102b2a6b5907ae5668b5ebdbd029b1d08c12c14168e2c  # Linux-Malware | R=42.9 | unbekannt | elf
91f40e048ce741bca5b0c2eb979570ac2983576c85a7bee32647fd97bd7c0a9a  # Linux-Malware | R=42.9 | unbekannt | elf
2627d0e6e3e0f073f4e93bdb0c6945c7f7b564232cec79454d828e8fd7269180  # Linux-Malware | R=42.9 | unbekannt | elf
8781ce07a4b94e71a205561c2f7523eebdfb12e9afcd56882b8736cb58499f72  # Linux-Malware | R=42.9 | unbekannt | elf
b8ed51832e0c153ec4844e8d75c0ea40261a7c107e045ecd35ef0002f40a0c78  # Linux-Malware | R=42.9 | unbekannt | elf
29e2376d593762c4885badde243775bf7290ae975fd2dd7fed80447cc57bc9ae  # Windows-Malware | R=39.1 | unbekannt | exe
6a500283df92975678a1928a9ac2db5935fee14e82a137343dc430ebe79d11e7  # Windows-Malware | R=39.0 | unbekannt | exe
3a7d26aa627ed2c274c29a2ce4a2137595882bfb77083eaf1e5b70e03dfaa344  # Andere / Unbekannt | R=32.4 | unbekannt | sh
7ee5047cbf8437269764e03f70646314c6c7ebd0feb97d796a79d5d956f7157a  # Andere / Unbekannt | R=32.4 | unbekannt | sh
0edc6016136f7d89f28e3014a30a0f948d14e5b5b6c15d66064d0e6392c0fdf3  # Andere / Unbekannt | R=32.3 | unbekannt | sh
ee8844ffd3879190fb389b0f613cb2dcdcd83375cf0a6994170a648c5ca8c479  # Andere / Unbekannt | R=32.2 | unbekannt | sys
fe818d1efd3547dd679c67eee784b57565484823ffa4a07a66c9719268a6dc48  # Andere / Unbekannt | R=32.1 | unbekannt | sh

[Tags]
Gafgyt
Mirai
WHQL
elf
signed
sys
upx
upx-dec

[VT Engine Detections]

## 460cdc154dc00f028f90...  (Mirai) | Defender: ✓ Trojan.Linux.Mirai.1
   Erkannt: 29/76 Engines (38.2%) — 🟡 SCHWACH ERKANNT
  ALYac                          Trojan.Linux.Mirai.1
  AVG                            ELF:Mirai-APD [Trj]
  AhnLab-V3                      Linux/Mirai.Gen35
  Antiy-AVL                      Trojan[Backdoor]/Linux.Mirai
  Arcabit                        Trojan.Linux.Mirai.1
  Avast                          ELF:Mirai-APD [Trj]
  BitDefender                    Trojan.Linux.Mirai.1
  CTX                            elf.trojan.mirai
  ClamAV                         Unix.Trojan.Mirai-10059749-0
  DrWeb                          Linux.Mirai.10456
  ESET-NOD32                     Linux/Mirai.CJS trojan
  Emsisoft                       Trojan.Linux.Mirai.1 (B)
  Fortinet                       ELF/UNSTABLE.AT!tr.botnet
  GData                          Trojan.Linux.Mirai.1
  Google                         Detected
  Ikarus                         Trojan.Linux.Mirai
  Jiangmin                       Backdoor.Linux.beiv
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.b
  MicroWorld-eScan               Trojan.Linux.Mirai.1
  Microsoft                      Backdoor:Linux/Mirai.AU!MTB
  Rising                         Backdoor.Mirai/Linux!1.106E5 (CLASSIC)
  SentinelOne                    Static AI - Malicious ELF
  Sophos                         Linux/DDoS-CI
  Tencent                        Backdoor.Linux.Mirai.wan
  VIPRE                          Trojan.Linux.Mirai.1
  Varist                         E32/Mirai.HS.gen!Eldorado
  ZoneAlarm                      Linux/DDoS-CI
  alibabacloud                   DDOS:Linux/Mirai
  huorong                        Backdoor/Linux.Mirai.ht

## ee2a12220aa049365a4b...  (Mirai) | Defender: ✗ nicht erkannt
   Erkannt: 15/76 Engines (19.7%) — 🟡 SCHWACH ERKANNT
  AVG                            ELF:Gafgyt-MV [Trj]
  Antiy-AVL                      Trojan[Backdoor]/Linux.Mirai
  Avast                          ELF:Gafgyt-MV [Trj]
  Avast-Mobile                   ELF:Mirai-AZN [Trj]
  ClamAV                         Unix.Dropper.Mirai-7136288-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9829
  ESET-NOD32                     Linux/Mirai.CGF trojan
  Google                         Detected
  Ikarus                         Backdoor.Linux.Mirai
  Microsoft                      Backdoor:Linux/Gafgyt.P!MTB
  Sangfor                        Suspicious.Linux.Save.a
  SentinelOne                    Static AI - Malicious ELF
  Varist                         E32/Mirai.EP.gen!Eldorado
  huorong                        Trojan/Linux.Mirai.co

## 7622a284a69aeedfcd41...  (Mirai) | Defender: ✗ nicht erkannt
   Erkannt: 20/76 Engines (26.3%) — 🟡 SCHWACH ERKANNT
  AVG                            ELF:Mirai-DDE [Trj]
  AhnLab-V3                      Trojan/Linux.Mirai.117280
  Antiy-AVL                      Trojan[Backdoor]/Linux.Mirai
  Avast                          ELF:Mirai-DDE [Trj]
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.DDoS.2637
  ESET-NOD32                     Linux/Mirai.EQR trojan
  Elastic                        Linux.Generic.Threat
  Fortinet                       ELF/Mirai.EOB!tr
  Google                         Detected
  Ikarus                         Backdoor.Linux.Mirai
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.kl
  Lionic                         Trojan.ELF.Mirai.4!c
  McAfeeD                        Trojan:Linux/Mirai.EQH
  Microsoft                      Trojan:Script/Wacatac.C!ml
  Rising                         Backdoor.Mirai/Linux!1.11724 (CLASSIC)
  Sangfor                        Suspicious.Linux.Save.a
  Tencent                        Trojan.Linux.Mirai.zntra
  Varist                         E32/Mirai.DJ.gen!Camelot
  huorong                        Trojan/Linux.Mirai.hf

## ee35e97129adbf882d22...  (Mirai) | Defender: ✗ nicht erkannt
   Erkannt: 8/76 Engines (10.5%) — 🟡 SCHWACH ERKANNT
  AVG                            BV:Downloader-AMZ [Drp]
  Avast                          BV:Downloader-AMZ [Drp]
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.DownLoader.37
  Google                         Detected
  Microsoft                      Trojan:Script/Wacatac.B!ml
  Varist                         SH/Mirai.C.gen!Camelot
  alibabacloud                   Suspicious

## 2762f3e0a56d62e70157...  (LummaStealer) ⭐ WOCHEN-SAMPLE | Defender: ✓ Application.Generic.4937892
   Erkannt: 44/76 Engines (57.9%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Application.Generic.4937892
  AVG                            FileRepMalware [Pws]
  AhnLab-V3                      Infostealer/Win.ACRStealer.R769686
  Alibaba                        TrojanPSW:Win32/Lumma.50689b1b
  Antiy-AVL                      Trojan/Win32.GenKryptik
  Arcabit                        Application.Generic.D4B58A4
  Avast                          FileRepMalware [Pws]
  BitDefender                    Application.Generic.4937892
  Bkav                           W32.AIDetectMalware
  CTX                            exe.trojan.lumma
  CrowdStrike                    win/malicious_confidence_100% (W)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 99)
  DeepInstinct                   MALICIOUS
  ESET-NOD32                     Win32/GenKryptik.HQFO trojan
  Elastic                        malicious (high confidence)
  Emsisoft                       Application.Generic.4937892 (B)
  Fortinet                       Riskware/GenKryptik
  GData                          Application.Generic.4937892
  Google                         Detected
  Ikarus                         Win32.Outbreak
  K7AntiVirus                    Trojan ( 006dcf241 )
  K7GW                           Trojan ( 006dcf241 )
  Kaspersky                      Trojan-PSW.Win32.Lumma.acsk
  Lionic                         Trojan.Win32.Lumma.1u!c
  Malwarebytes                   PUP.Optional.ChinAd.DDS
  MaxSecure                      Trojan.Malware.668499659.susgen
  McAfeeD                        ti!2762F3E0A56D
  MicroWorld-eScan               Application.Generic.4937892
  Microsoft                      Trojan:Win32/Kepavll!rfn
  Paloalto                       generic.ml
  Panda                          Trj/PhxBzA.A
  Rising                         Trojan.Kryptik!8.8 (CLOUD)
  Sangfor                        Infostealer.Win32.Kryptik.Vjh1
  Sophos                         Mal/Generic-S
  Symantec                       ML.Attribute.HighConfidence
  Tencent                        Win32.Trojan.FalseSign.Jtgl
  TrellixENS                     Artemis!5C132A0DBF04
  TrendMicro-HouseCall           Trojan.Win32.Gen.TL0101DJ26ZS
  VBA32                          BScope.TrojanPSW.Lumma
  VIPRE                          Application.Generic.4937892
  Varist                         W32/ABApplication.IBVU-3133
  VirIT                          Trojan.Win32.GenusT.FSRG
  alibabacloud                   Trojan[stealer]:Win/Kepavll.Gen
