# IOC Export  2026-04-11_07-06-UTC
# 31 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
  TrendMicro-HouseCall           Possible_MIRAI.SMLBO6
  VIPRE                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Varist                         E32/Mirai.AT.gen!Eldorado
  ZoneAlarm                      Linux/DDoS-CI
  alibabacloud                   DDOS:Linux/Mirai
  huorong                        Trojan/Linux.Mirai.g

## 7b9c0ff385f650793c53...  (Mirai) | Defender: ✓ Gen:Variant.Trojan.Linux.Gafgyt.8
   Erkannt: 35/76 Engines (46.1%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Trojan.Linux.Gafgyt.8
  AVG                            ELF:Mirai-BOH [Trj]
  AhnLab-V3                      Linux/Mirai.Gen15
  Antiy-AVL                      Trojan[Backdoor]/Linux.Mirai
  Arcabit                        Trojan.Trojan.Linux.Gafgyt.8
  Avast                          ELF:Mirai-BOH [Trj]
  Avast-Mobile                   ELF:Mirai-FY [Trj]
  Avira                          LINUX/Mirai.bonb
  BitDefender                    Gen:Variant.Trojan.Linux.Gafgyt.8
  CTX                            elf.trojan.gafgyt
  ClamAV                         Unix.Trojan.Mirai-7100807-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9788
  ESET-NOD32                     Linux/Mirai.A trojan
  Elastic                        Linux.Generic.Threat
  Emsisoft                       Gen:Variant.Trojan.Linux.Gafgyt.8 (B)
  F-Secure                       Malware.LINUX/Mirai.bonb
  Fortinet                       ELF/Condi.CDB!tr.botnet
  GData                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Google                         Detected
  Gridinsoft                     Susp.U.XOREncoded.sd!yf
  Ikarus                         Linux.Bot
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.b
  MaxSecure                      Trojan.Malware.121218.susgen
  McAfeeD                        Trojan:Linux/GenericY.HO
  MicroWorld-eScan               Gen:Variant.Trojan.Linux.Gafgyt.8
  Microsoft                      Backdoor:Linux/Mirai.AM!xp
  Rising                         Backdoor.Mirai/Linux!1.11724 (CLASSIC)
  Sangfor                        Suspicious.Linux.Save.a
  Tencent                        Backdoor.Linux.Mirai.waw
  TrendMicro                     Possible_MIRAI.SMLBO6
  TrendMicro-HouseCall           Possible_MIRAI.SMLBO6
  VIPRE                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Varist                         E32/Mirai.DM.gen!Eldorado
  huorong                        Trojan/Linux.Mirai.g

## 009f1f01ec504d471dc2...  (Mirai) | Defender: ✓ Gen:Variant.Trojan.Linux.Gafgyt.8
   Erkannt: 33/76 Engines (43.4%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Trojan.Linux.Gafgyt.8
  AVG                            ELF:Mirai-BOH [Trj]
  AhnLab-V3                      Linux/Mirai.Gen15
  Arcabit                        Trojan.Trojan.Linux.Gafgyt.8
  Avast                          ELF:Mirai-BOH [Trj]
  Avast-Mobile                   ELF:Mirai-FY [Trj]
  Avira                          LINUX/Mirai.bonb
  BitDefender                    Gen:Variant.Trojan.Linux.Gafgyt.8
  CTX                            elf.trojan.gafgyt
  ClamAV                         Unix.Trojan.Mirai-7100807-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9770
  ESET-NOD32                     Linux/Mirai.A trojan
  Emsisoft                       Gen:Variant.Trojan.Linux.Gafgyt.8 (B)
  F-Secure                       Malware.LINUX/Mirai.bonb
  Fortinet                       ELF/Condi.CDB!tr.botnet
