# IOC Export  2026-03-29_22-35-UTC
# 10 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
4d94abdaa66f3d76ea89d92f68314d2c560b7c67de10185046bfb940cd84f239  # Botnet/IoT | R=84.3 | Mirai | elf
5a29d662e1c3f2ebf77086eb10068bf3184434da5cd1de2ca0b921be701bde88  # Trojaner | R=78.9 | AIDetectMalware | exe
ced4cf149946549676495a9bf47b97225ec9f69243439ab2531729f1e9586381  # RAT | R=78.5 | njrat | exe
7bd313add125c26c87e12f2c32c36b1a6c69f9c12e9158bb8f2db2865aab9c08  # RAT | R=76.2 | njrat | exe
750e5ac3bb33d7ad4f9676ec40531b24c083cabe89683e40453f8e9d769ad1b7  # Trojaner | R=59.7 | SalatStealer | exe
9c695547b4accd051e5120341d75c313051125e1d3e41fddd9e9f84fd6ea4d45  # Andere / Unbekannt | R=32.6 | unbekannt | unknown
a09c14786f522bbe8c570c3be61641a6dd06a73d869e4a2ce140a18b637deb96  # Andere / Unbekannt | R=32.0 | unbekannt | html
bb46768bf798fda615e04d10355ca72887b19c70b3663c482cbdcaf98b678455  # Andere / Unbekannt | R=31.9 | unbekannt | unknown
0c32c6f58b328278f4b391594d94f0b56567c335f27ea4fe9a66f9f485ac545c  # Andere / Unbekannt | R=31.6 | unbekannt | unknown
8129c95b9e9b53fa3a7e552a2cb0807cfb53b8b2f612814cbceb03cc7ead98ae  # Andere / Unbekannt | R=31.6 | unbekannt | unknown

[Tags]
Mirai
Quasarrat
elf
exe
html
njrat

[VT Engine Detections]

  Antiy-AVL                      Trojan[Backdoor]/Linux.Mirai.ba
  Avast                          ELF:CVE-2021-36260-A [Expl]
  Avast-Mobile                   ELF:Mirai-CGF [Trj]
  Cynet                          Malicious (score: 99)
  Elastic                        Linux.Generic.Threat
  Google                         Detected
  SentinelOne                    Static AI - Suspicious ELF
  Sophos                         Linux/DDoS-BI
  ZoneAlarm                      Linux/DDoS-BI
  huorong                        Trojan/Linux.Mirai.q

## 5a29d662e1c3f2ebf770...  (AIDetectMalware) | Defender: ✗ nicht erkannt
   Erkannt: 15/75 Engines (20.0%) — 🟡 SCHWACH ERKANNT
  APEX                           Malicious
  Bkav                           W32.AIDetectMalware
  CrowdStrike                    win/malicious_confidence_60% (W)
  Cylance                        Unsafe
  DeepInstinct                   MALICIOUS
  Elastic                        malicious (high confidence)
  Kaspersky                      UDS:Trojan.Win32.Makoob.gen
  Kingsoft                       Win32.Trojan.GenericML.xnet
  McAfeeD                        ti!5A29D662E1C3
  Microsoft                      Trojan:Win32/Sonbokli.A!cl
  Paloalto                       generic.ml
  Sophos                         Mal/Generic-S
  TrellixENS                     Artemis!84F67531335F
  TrendMicro-HouseCall           Trojan.Win32.VSX.PE04C9z
  huorong                        Trojan/Injector.byr

## 750e5ac3bb33d7ad4f96...  (SalatStealer) ⭐ WOCHEN-SAMPLE | Defender: ✓ Trojan.GenericKDZ.116601
   Erkannt: 47/75 Engines (62.7%) — 🟠 MÄSSIG ERKANNT
  AhnLab-V3                      Trojan/Win.Generic.R727379
  Alibaba                        TrojanBanker:Win32/SalatStealer.1f71e228
  Antiy-AVL                      Trojan/Win32.SalatStealer
  Arcabit                        Trojan.Generic.D1C779
  Avira                          TR/AVI.SalatStealer.uirse
  BitDefender                    Trojan.GenericKDZ.116601
  Bkav                           W32.AIDetectMalware
  CAT-QuickHeal                  Trojan.Agent
  CTX                            exe.trojan.salatstealer
  ClamAV                         Win.Malware.Salat-10058846-0
  CrowdStrike                    win/malicious_confidence_100% (W)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 99)
  DeepInstinct                   MALICIOUS
  ESET-NOD32                     WinGo/Agent.VO trojan
  Elastic                        Multi.Generic.Threat
  Emsisoft                       Trojan.GenericKDZ.116601 (B)
  F-Secure                       Trojan.TR/AVI.SalatStealer.uirse
  Fortinet                       W32/Agent.VO!tr
  GData                          Trojan.GenericKDZ.116601
  Google                         Detected
  Gridinsoft                     Trojan.Win32.Agent.sa
  Ikarus                         Trojan.WinGo.Agent
  K7AntiVirus                    Spyware ( 006d58511 )
  K7GW                           Spyware ( 006d58511 )
  Kaspersky                      UDS:Trojan-Banker.Win32.Agent.gen
  Kingsoft                       Win32.Trojan-Banker.Agent.gen
  Lionic                         Trojan.Win32.SalatStealer.7!c
  Malwarebytes                   Malware.AI.1485447620
  MaxSecure                      Trojan.Malware.121218.susgen
  McAfeeD                        Trojan:Win/Salat.EAC
  MicroWorld-eScan               Trojan.GenericKDZ.116601
  Microsoft                      Trojan:Win32/SalatStealer.SMX!MTB
  Paloalto                       generic.ml
  Panda                          Trj/CI.A
  Rising                         Stealer.Salat!1.13A22 (CLASSIC)
  Sangfor                        Infostealer.Win32.Salatstealer.Vkzr
  SentinelOne                    Static AI - Malicious PE
  Sophos                         Mal/Generic-S
  Symantec                       ML.Attribute.HighConfidence
  Tencent                        Trojan.Win32.Stealer.16001830
  TrendMicro-HouseCall           Trojan.Win32.VSX.PE04C9z
  VBA32                          BScope.Trojan.Win64.Agent
  VIPRE                          Trojan.GenericKDZ.116601
  Varist                         W32/Agent.LNT.gen!Eldorado
  alibabacloud                   Trojan:Multi/Rozena.SS
  huorong                        Trojan/Agent.e!crit
