# IOC Export  2026-04-18_08-56-UTC
# 26 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
  AhnLab-V3                      Linux/Gafgyt.Gen33
  Antiy-AVL                      Trojan[Backdoor]/Linux.Gafgyt
  Arcabit                        Trojan.Backdoor.Linux.Gafgyt.1
  Avast                          ELF:DDoS-S [Trj]
  Avast-Mobile                   ELF:DDoS-S [Trj]
  Avira                          LINUX/Gafgyt.opnd
  BitDefender                    Gen:Variant.Backdoor.Linux.Gafgyt.1
  CTX                            elf.backdoor.gafgyt
  ClamAV                         Unix.Dropper.Mirai-7139232-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9842
  ESET-NOD32                     Linux/Gafgyt.WN trojan
  Elastic                        Linux.Generic.Threat
  Emsisoft                       Gen:Variant.Backdoor.Linux.Gafgyt.1 (B)
  F-Secure                       Malware.LINUX/Gafgyt.opnd
  Fortinet                       ELF/Gafgyt.C!tr
  GData                          Linux.Trojan.Gafgyt.B
  Google                         Detected
  Ikarus                         Backdoor.Linux.Mirai
  Kaspersky                      HEUR:Backdoor.Linux.Gafgyt.gen
  Kingsoft                       Linux.Backdoor.Gafgyt.gen
  MaxSecure                      Trojan.Malware.121218.susgen
  MicroWorld-eScan               Gen:Variant.Backdoor.Linux.Gafgyt.1
  Microsoft                      Backdoor:Linux/DemonBot.YA!MTB
  Rising                         Backdoor.Mirai/Linux!1.11724 (CLASSIC)
  Sangfor                        Suspicious.Linux.Save.a
  SentinelOne                    Static AI - Malicious ELF
  Sophos                         Linux/DDoS-EX
  Symantec                       Trojan.Gen.2
  Tencent                        Backdoor.Linux.Gafgyt.ym
  TrendMicro                     Backdoor.Linux.BASHLITE.SMJC
  TrendMicro-HouseCall           Backdoor.Linux.BASHLITE.SMJC
  VIPRE                          Gen:Variant.Backdoor.Linux.Gafgyt.1
  Varist                         E32/Gafgyt.C.gen!Camelot
  ZoneAlarm                      Linux/DDoS-EX
  alibabacloud                   DDOS:Linux/Gafgyt
  huorong                        Backdoor/Linux.Gafgyt.k

## ffc179f338f7546f7bd0...  (Backdoor) | Defender: ✓ Gen:Variant.Backdoor.Linux.Gafgyt.1
   Erkannt: 39/76 Engines (51.3%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Backdoor.Linux.Gafgyt.1
  AVG                            ELF:DDoS-S [Trj]
  AhnLab-V3                      Linux/Gafgyt.Gen33
  Antiy-AVL                      Trojan/Linux.Mirai.b
  Arcabit                        Trojan.Backdoor.Linux.Gafgyt.1
  Avast                          ELF:DDoS-S [Trj]
  Avast-Mobile                   ELF:DDoS-S [Trj]
  Avira                          LINUX/Gafgyt.opnd
  BitDefender                    Gen:Variant.Backdoor.Linux.Gafgyt.1
  CTX                            elf.backdoor.gafgyt
  ClamAV                         Unix.Dropper.Mirai-7139232-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9842
  ESET-NOD32                     Linux/Gafgyt.WN trojan
  Elastic                        Linux.Generic.Threat
  Emsisoft                       Gen:Variant.Backdoor.Linux.Gafgyt.1 (B)
  F-Secure                       Malware.LINUX/Gafgyt.opnd
  Fortinet                       ELF/Gafgyt.C!tr
  GData                          Linux.Trojan.Gafgyt.B
  Google                         Detected
  Ikarus                         Backdoor.Linux.Mirai
  Kaspersky                      HEUR:Backdoor.Linux.Gafgyt.gen
  Kingsoft                       Linux.Backdoor.Gafgyt.gen
  MaxSecure                      Trojan.Malware.121218.susgen
  MicroWorld-eScan               Gen:Variant.Backdoor.Linux.Gafgyt.1
  Microsoft                      Backdoor:Linux/DemonBot.YA!MTB
  Rising                         Backdoor.Mirai/Linux!1.11724 (CLASSIC)
  Sangfor                        Suspicious.Linux.Save.a
  SentinelOne                    Static AI - Malicious ELF
  Sophos                         Linux/DDoS-EX
  Symantec                       Trojan.Gen.2
  Tencent                        Backdoor.Linux.Gafgyt.ym
  TrendMicro                     Backdoor.Linux.BASHLITE.SMJC
  TrendMicro-HouseCall           Backdoor.Linux.BASHLITE.SMJC
  VIPRE                          Gen:Variant.Backdoor.Linux.Gafgyt.1
  Varist                         E32/Gafgyt.C.gen!Camelot
  ZoneAlarm                      Linux/DDoS-EX
  alibabacloud                   DDOS:Linux/Gafgyt
  huorong                        Backdoor/Linux.Gafgyt.k

## 1be6a8d35632d5702bde...  (DiscordRAT) ⭐ WOCHEN-SAMPLE | Defender: ✓ Trojan:MSIL/Dcstl.psyX!MTB
   Erkannt: 46/76 Engines (60.5%) — 🟠 MÄSSIG ERKANNT
  APEX                           Malicious
  AhnLab-V3                      Trojan/Win.Generic.C5217098
  Alibaba                        Trojan:MSIL/Injuke.396e3478
  Antiy-AVL                      Trojan/Win32.Agent
  Avira                          HEUR/AGEN.1378898
  Bkav                           W64.AIDetectMalware.CS
  CAT-QuickHeal                  Trojan.YakbeexMSIL.ZZ4
  CTX                            exe.trojan.msil
  ClamAV                         Win.Malware.Tedy-9965181-0
  CrowdStrike                    win/malicious_confidence_100% (W)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 100)
  DeepInstinct                   MALICIOUS
  DrWeb                          BackDoor.SpyBotNET.70
  Elastic                        malicious (high confidence)
  F-Secure                       Heuristic.HEUR/AGEN.1378898
  Fortinet                       MSIL/Agent.DZT!tr
  GData                          MSIL.Backdoor.DiscordRAT.B
  Google                         Detected
  Gridinsoft                     Trojan.Win64.Agent.sa
  Ikarus                         Trojan-Downloader.MSIL.Agent
  K7AntiVirus                    Trojan ( 005b0c8d1 )
  K7GW                           Trojan ( 005b0c8d1 )
  Kingsoft                       Win32.Trojan.Injuke.pflk
  Lionic                         Trojan.Win32.DiscordRAT.4!c
  Malwarebytes                   Generic.Trojan.MSIL.DDS
  McAfeeD                        Trojan:Win/Eternity.A
  MicroWorld-eScan               Gen:Variant.Application.msilheracles.1255
  Microsoft                      Trojan:MSIL/Dcstl.psyX!MTB
  Paloalto                       generic.ml
  Panda                          Trj/CI.A
  Rising                         Backdoor.DiscordRAT!1.F9B9 (CLASSIC)
  SUPERAntiSpyware               Trojan.Agent/Gen-Jalapeno
  Sangfor                        Suspicious.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Sophos                         Mal/Stealer-J
  Symantec                       ML.Attribute.HighConfidence
  Tencent                        Trojan.MSIL.Agent.kp
  VIPRE                          Gen:Variant.Application.msilheracles.1255
  Varist                         W64/Agent.EWH.gen!Eldorado
  ViRobot                        Trojan.Win.Z.Agent.80384.DQME
  VirIT                          Trojan.Win64.Agent.BBO
  Webroot                        W32.Trojan.Gen
  ZoneAlarm                      Mal/Stealer-J
  alibabacloud                   Backdoor:MSIL/Dcstl.pvk#3DGW
  huorong                        TrojanSpy/MSIL.Stealer.add!crit
